序号 题目 答案
996 波特家族发明了什么魔药？ 生骨灵
995 哈利波特的魔杖弄坏和谁有关？ 纳吉尼
994 邓布利多将魂器上的诅咒压制在了自己身体的哪个部位？ 右手
993 阿不福思邓布利多曾被控告对什么动物滥施魔法？ 山羊
992 历史上赫敏格兰杰熬制的第一份魔药叫什么？ 治疗疥疮
991 阿不思·邓布利多的出生地是？ 沃土原
990 使用凤凰羽毛作为杖芯的魔杖的特性是什么？ 擅长多样的魔法
989 韦斯莱一家所在的村子叫什么？ 圣卡其波尔村
988 弗农德思礼所在的公司的名字是什么？ 格朗宁
987 麻瓜在靠近施展了麻瓜驱逐咒的地点时会发生什么？ 想起十万火急的事情匆匆离开
986 关于幻影显形的3个,不包括下列哪个？ 维度
985 阿布拉克萨斯马尔福的死因是什么？ 龙痘疮
984 雏菊根无花果皮毛毛虫水蛭汁老鼠脾脏可以做什么魔药？ 缩身药水
1 德拉科马尔福在修理消失柜时，高尔等人用摔掉什么来提醒他有人靠近 天平
570 什么纸牌游戏在霍格沃茨很受欢迎？ 爆炸牌 
154 疯眼汉穆迪曾如何惩罚德拉科马尔福？ 他把德拉科变成了一只白*
568 什么样的人才能看到夜骐？ 目曙过死亡
272 哈利在学习守护神咒时，使用过下列哪一段回忆？ 他第一次骑上飞天扫
7 魔法史的作者是谁？ 巴希达巴沙特
608 谁还记得哈利波特的第一根魔杖有多长？ I11英寸 
82 大家知道海格教授的粉红色雨伞里隐藏着什么吗？ 他的旧魔权
957 谁在魔法部出口抓住了赫敏并进入了格里莫广场12号的门？ 亚克斯利
855 在小汉格顿的墓地中，塞德里克迪戈里向哈利提出的最 把他的尸体带给他的父母
855 在小汉格顿的墓地中，塞德里克迪戈里向哈利提出的最后一个请求是 把他的尸体带给他的父母
984 雏菊根、无花果皮、毛毛虫、水蛭汁、老鼠脾脏可以做什么？ 缩身药剂
985 弗农德思礼所在的公司的名字是什么？ 格朗宁
987 使用凤凰羽毛作为杖芯的魔权的特性是什么？ 擅长最多样的魔法
988 阿不思邓布利多的出生地是？ 沃土原
989 弗农德思礼在格朗宁公司是什么职位？ 主管
990 赫敏制作的复方汤剂的配方出自哪本书？ 强力药剂
991 波特家族发明了什么魔药？ 生骨灵
992 历史上赫敏格兰杰熬制的第一份魔药叫什么？ 治疗疥疮的药水
993 卢娜洛夫古德透过防妖眼镜可以看到什么？ 骚扰虻 
994 洛丽丝夫人是透过什么看见了蛇怪？ 走廊里地面的水
995 吉德罗洛哈特荣获多少次巫师周刊最迷人微笑奖？ 五次
996 韦斯莱一家所在的村子叫什么？ 圣卡其波尔村
997 关于幻影显形的三个，不包括下列哪个 维度
998 斯内普教授童年生活的地方是？ 蜘蛛尾巷
1000 阿不思邓布利多的母亲是？ 坎德拉邓布利多
1001 奥利凡德在给哈利波特介绍魔杖时，提到谁的魔杖用于变形咒 詹姆斯波特
1002 三把扫帚的老板娘是？ 罗斯默塔女士
1003 1612年妖精叛乱司令部所在地是 猪头酒吧
1004 在座有魁地奇爱好者吗？考考你，哈利波特的第一把扫把 光轮2000
1005 麻瓜传说中的麦田怪圈可能是哪种神奇动物留下的？ 月痴兽
1006 有谁认识格洛普吗？他是谁 海格同母异父的弟弟
1007 什么东西可以让你免受曼德拉草的伤害？ 耳套
1008 格兰芬多休息室曾经使用过哪些口令？ 猪鼻子龙渣
1009 谁教会了哈利波特守护神光？ 莱姆斯卢平
1010 被蛇怪杀死的女孩是谁？ 桃金娘伊丽莎白沃伦
1011 斯内普的私人储藏室曾被闯入三次，请选出其中一次 小巴蒂克劳奇偷复方汤剂材料
1012 进入赫奇帕奇休息室需要敲击哪个木桶？ 第二排中间第二个桶
1013 学生们在课上被毒触手攻击可以做什么？ 大声念咒
981 以下哪种生物不曾生活在禁林中？ 骆吾驺吾 
1014 德思礼夫妇在哈利去霍格沃茨的第一年圣诞，送了什么礼 五十便士
1015 以下伊法魔尼四大学院创始人中哪一位是麻瓜？ 詹姆斯斯图尔特
1016 哈利波特的姨夫在什么公司上班？ 钻机
1017 进入英国魔法部的方式是？ 将自已冲进马桶
1018 地精的天敌是什么生物？ 土扒貂
1019 哈利波特和罗恩第一次在火车上见面时，双胞胎正准备去找 蟾蜍
1020 邓布利多将魂器上的诅咒压制在了自己身体的哪个部位？ 右手
1021 舟形乌头和狼毒乌头的区别是什么？ 没有区别
1022 小天狼星布莱克的阿尼玛格斯是什么动物 黑色大狗
1023 什么生物看起来像由一缕烟雾组成，提着灯笼会把旅行的人陷入泥沼 欣克庞克
1 海格在什么节日里亲吻过麦格教授？ 圣诞节
1 阿不思邓布利多的前一任校长名字叫做？ 阿芒多迪佩特
1 规模最大的魔法学校是哪所？ 瓦加度
1 有了解赫敏格兰杰的同学吗？考考你，她的猫叫什么？ 克鲁克山
1 谁导致了巴克比克被判了死刑？ 点修斯马尔福
1 斯内普教授童年生活的地方是？ 蜘蛛尾巷
1 甘普基本变形法则五大例外中的第一项是什么？ 不可能凭空变出美味佳肴 
2 初级变形指南的作者是？ 埃默里克斯威奇 
3 阿不思邓布利多的生平与谎言是谁的代表作？ 丽塔斯基特 
4 哈利波特与密室中没被蛇怪石化的是？ 哭泣的桃金娘 
5 黑魔法自卫指南的作者？ 昆丁特林布
6 霍格沃茨，一段校史的作者是谁？ 巴希达巴沙特 
7 魔法史的作者是谁？ 巴希达巴沙特
8 千种神奇药草及蕈类的作者是谁？ 菲利达斯波尔 
9 神奇动物在哪里的作者是谁？ 纽特斯卡曼德 
10 神奇动物在哪里中，纽特斯卡曼德为了让纽约的市民失忆，使用了哪种动物的经稀释的毒液？ 蜷翼魔 
11 为消遣和盈利而饲养火龙中建议用什么喂养新出生的龙？ 白兰地混鸡血 
12 预言家日报的记者丽塔斯基特能变成什么？ 甲虫 
13 预言家日报上邓布利多的讣告是谁写的？ 埃菲亚斯多吉 
17 1792年三强争霸赛中，什么生物横冲直撞导致三名裁判受伤？ 鸡蛇 
18 1979年谁向阿不思做了一个具有打败伏地魔能力的孩子会出生的预言？ 西比尔特里劳尼 
19 1985-1986学年，谁带领格兰芬多魁地奇球队赢得了魁地奇学院杯？ 查理韦斯莱 
20 1994年的魁地奇世界杯得主是谁？ 爱尔兰队 
21 1994年魁地奇世界杯决赛时，谁召唤出了黑魔标记？ 小巴蒂克劳奇 
22 1997年伏地魔控制下的魔法部内，大厅雕像上写着什么？ 魔法即强权 
23 1997年霍格沃茨的黑魔法防御术教授由谁担当？ 阿米库斯卡罗 
24 1997年英国魔法部倒台前的部长是？ 鲁弗斯斯克林杰 
25 爱阅读的同学们，会魔法的我是谁的自传？ 吉德罗洛哈特 
26 奥利凡德不曾使用下列哪种杖芯？ 媚娃的头发 
27 奥利凡德魔杖商店创始于哪一年？ 公元前382年 
28 巴克比克是什么生物？ 鹰头马身有翼兽 
29 保护神奇生物课上海格所使用的教科书是什么？ 妖怪们的妖怪书 
30 贝拉特里克斯莱斯特兰奇是被谁杀死的？ 莫丽韦斯莱 
31 贝拉特里克斯莱斯特兰奇折磨疯了谁的父母？ 纳威隆巴顿 
32 被食死徒抓捕后，是谁给哈利波特施了蜇人咒？ 赫敏格兰杰 
33 比比多味豆总共有多少种口味？ 20 
34 比尔韦斯莱在古灵阁的职位是什么？ 解咒员 
35 宾斯教授在霍格沃茨教哪一门课程？ 魔法史 
36 博格特在面对卢平教授时变成了什么？ 满月 
37 布巴吉教授在霍格沃茨教哪一门课程？ 麻瓜研究 
38 布斯巴顿的校长马克西姆夫人说她的马只喝什么？ 纯麦威士忌 
39 布斯巴顿魔法学校参加三强争霸赛时乘坐哪种交通工具？ 飞马马车 
40 布斯巴顿魔法学校位于哪个国家？ 法国 
41 布斯巴顿魔法学院的马车由什么生物牵引？ 飞马 
42 布斯巴顿魔法学院坐落在哪里？ 法国南部比利牛斯山 
43 猜猜看，哈利波特的挚友罗恩韦斯莱最擅长哪一种游戏？ 巫师棋 
44 猜猜看，哈利第一次去卢平教授办公室时，在角落里看到了什么生物？ 格林迪洛 
45 猜猜看，海格的摩托车原来属于谁？ 小天狼星布莱克 
46 猜猜看，金妮韦斯莱的侏儒蒲叫什么名字？ 阿图阿囡 
47 猜猜看，卢平教授的朋友们叫他什么？ 月亮脸 
48 猜猜看，为什么鸟蛇蛋那么值钱？ 它们是银做的 
49 猜猜看，以前纳威隆巴顿教授的宠物蟾蜍名叫什么？ 莱福 
50 参加三强争霸赛的选手必须年满多少周岁？ 17周岁 
51 参加斯拉格霍恩教授晚宴的成员们加入了什么团体？ 鼻涕虫俱乐部 
52 参与三强争霸赛的人中牺牲的是谁？ 塞德里克迪戈里 
53 曾被藏在霍格沃茨的魔法石是谁制作的？ 尼可勒梅 
54 曾关押黑巫师格林德沃的纽蒙迦德，位于哪个国家？ 奥地利 
55 曾经，多洛雷斯乌姆里奇用什么物品惩罚哈利和他的同学们？ 惩罚羽毛笔 
56 曾经，弗雷德和乔治偷偷用什么偷听凤凰社会议？ 伸缩耳 
57 曾经，谁告诉哈利和罗恩有一位女孩死在了盥洗室里？ 德拉科马尔福 
58 曾经参加过四强争霸赛的芙蓉德拉库尔的妹妹叫什么？ 加布丽 
59 曾经大难不死的男孩——哈利波特出生于哪里？ 戈德里克山谷 
60 曾经的人气明星吉德罗洛哈特最喜欢的颜色是什么？ 淡紫色
61 曾为克劳奇家族服务过家养小精灵是谁？ 闪闪 
62 差点没头的尼克喜欢别人叫他什么？ 尼古拉斯爵士 
63 差点没头的尼克一直想加入哪个组织？ 无头猎手队 
64 查理韦斯莱在哪儿研究龙？ 罗马尼亚 
65 茶叶占卜是研究什么的？ 研究茶叶渣形状 
66 初入霍格沃茨的第一学年，哈利、罗恩和赫敏在盥洗室打败了什么生物？ 巨怪 
67 传说中的混血王子是谁？ 西弗勒斯斯内普 
68 传闻中，波特家族在古灵阁的金库编号是多少？ 687号 
69 传闻中，哈利波特的父亲詹姆波特的外号是什么？ 尖头叉子 
70 传闻中，赫敏曾用什么形容罗恩的感情？ 一茶匙 
71 传闻中，詹姆波特的阿尼马格斯形态是什么？ 牡鹿 
72 传闻中的救世之星是谁？ 哈利波特 
73 传闻中的预言厅在哪？ 魔法部 
74 传闻中哪一个童话故事提到了死亡圣器的起源？ 三兄弟的传说 
75 传言，赫敏格兰杰闻到的爱情魔药是什么味道？ 刚修剪过的草坪、新的羊皮纸和薄荷味牙膏 
76 从哪本书中可以学习到神锋无影这个咒语？ 高级魔药制作 
77 从哪里可以搭乘霍格沃茨特快列车去霍格沃茨？ 国王十字车站，93/4站台 
78 大家常去对角巷光顾的猫头鹰商店叫什么名字？ 咿啦猫头鹰商店 
79 大家熟知的神奇动物商店位于哪里？ 对角巷 
80 大家知道，哈利在哪里找到了魔法石吗？ 在他的口袋里 
81 大家知道费尔奇的猫叫什么名字吗？ 洛丽丝夫人 
83 达力在哪本书里遇到了摄魂怪？ 凤凰社 
84 打人柳看守什么？ 一条通往尖叫棚屋的秘密通道 
85 打人柳下的树洞可以通往那里？ 尖叫棚屋 
86 大战后谁回到霍格沃茨完成七年级的学业？ 赫敏格兰杰 
87 当德思礼侮辱邓布利多的时候，海格做了什么？ 给达力变出了一条猪尾巴 
88 当邓布利多被革除校长职位后，谁接任了他的职位？ 多洛雷斯乌姆里奇 
89 当多洛雷斯乌姆里奇从霍格沃茨离开时，皮皮鬼用什么东西攻击她？ 拐杖和装满了粉笔的袜子 
90 当哈利波特第一次参加魁地奇比赛时，是谁对他的飞天扫帚施用了黑魔法？ 奎里纳斯奇洛 
91 当记忆球变成红色意味着什么？ 使用者遗忘了什么 
92 当密室打开时，赫敏通过什么看见了蛇怪？ 镜子 
93 当你打开吼叫信时会发生什么？ 被吼叫 
94 当年赫敏用什么方法同时修多门课程？ 时间转换器 
95 当使用者忘记了一些事情的时候记忆球会变成什么颜色？ 红色 
96 当一个人快死时，喝什么生物的血可以使其继续生存下去？ 独角兽 
97 当有人穿过神秘事务司的帷幔时会发生什么？ 会死 
98 到霍格沃茨所要乘的特快列车编号是多少？ 5972 
99 德科拉马尔福二年级时使用的什么飞天扫帚？ 光轮2001 
100 德拉科马尔福用来羞辱赫敏的泥巴种是什么意思？ 父母都是麻瓜的巫师 
101 德拉科马尔福在三强争霸赛的圣诞舞会上的舞伴是谁？ 潘西帕金森 
102 德拉科马尔福最终与谁结成了夫妻？ 阿斯托利亚格林格拉斯 
103 邓布利多曾在厄里斯魔镜里藏了什么？ 魔法石 
104 邓布利多的凤凰的名字叫什么？ 福克斯 
105 邓布利多的母亲叫什么名字？ 坎德拉邓布利多 
106 邓布利多第一次见到汤姆里德尔是在什么地方？ 伍氏孤儿院 
107 邓布利多告诉赫敏可以利用时间转换器拯救两条生命时，他指的谁？ 小天狼星布莱克和巴克比克 
108 邓布利多将什么东西作为遗产留给了给赫敏格兰杰？ 诗翁彼豆故事集 
109 邓布利多将什么遗赠给罗恩？ 熄灯器 
110 邓布利多教授学生时被分到了哪个学院？ 格兰芬多 
111 邓布利多军的第一次集会地点选择在了哪里？ 猪头酒吧 
112 邓布利多军通过什么硬币来交流信息？ 假加隆 
113 邓布利多逝世后，熄灯器的持有者是谁？ 罗恩韦斯莱 
114 邓布利多死的那天晚上，是什么文物让食死徒进入霍格沃茨？ 消失柜 
115 邓布利多与格林德沃在什么时候因什么决裂？ 1899年在两人的争吵中阿利安娜突然死亡 
116 邓布利多在青年时期最好的朋友是谁？ 盖勒特格林德沃 
117 第二学年，哈利波特和罗恩韦斯莱是通过什么方式到达学校的？ 魔法汽车 
118 第二学年后的暑假罗恩韦斯莱用了什么工具联系哈利，又对此次联系感到抱歉？ 电话 
119 第一个金色飞贼由巫师金匠鲍曼莱特在哪里打造？ 戈德里克山谷 
120 第一只金色飞贼的制作者是谁？ 鲍曼莱特 
121 电影中，哈利波特没有进入霍格沃茨魔法学校之前放出一条什么蟒蛇？ 缅甸蟒 
122 独角兽宝宝是什么颜色的？ 金色 
123 毒角兽的角有什么特别之处？ 会引起爆炸 
124 对黑魔法影响颇深，以第一位蛇怪孵化者著称的最早蛇佬腔之一是？ 海尔波 
125 对角巷里，专门售卖坩埚的店由谁经营？ 帕特奇女士 
126 对角巷上哪一家酒吧被巫师公认为伦敦最古老的酒吧？ 破釜酒吧 
127 对抗食死徒时，小天狼星布莱克死于谁之手？ 贝拉特里克斯莱斯特兰奇 
128 多比营救哈利波特等人，从马尔福庄园传送到哪里？ 贝壳小屋 
129 多比在收到什么物品之后成为了自由的小精灵？ 哈利波特的袜子 
130 多洛雷斯乌姆里奇的守护神是什么？ 猫 
131 多洛雷斯乌姆里奇建立了什么学生组织来维持校园秩序？ 调查行动组 
132 多年前小矮星彼得被分到了哪个学院？ 格兰芬多 
133 阿不福思的守护神是什么？ 山羊 
134 阿布拉克萨斯马尔福的死因是什么？ 龙痘疮 
135 阿不思邓布利多曾拥有几件死亡圣器？ 三件 
136 阿不思邓布利多和哈利波特去岩洞中取挂坠盒时最想喝什么？ 水 
137 阿不思邓布利多没能直接通过魔法部长交给哈利波特等三人的遗物是什么？ 格兰芬多宝剑 
138 阿不思邓布利多派谁在麻瓜世界保护哈利？ 费格太太 
139 阿不思邓布利多在什么地方与盖勒格林德沃相识？ 戈德里克山谷 
140 阿兹卡班的守卫是什么？ 摄魂怪 
141 厄里斯魔镜名字的词源来自哪个单词？ desire 
142 厄里斯魔镜所反映的不是一个人的倒影，而是什么呢？ 他们心中最大的愿望 
143 阿尼马格斯形态下的小天狼星布莱克被称为大脚板或什么？ 伤风 
144 二年级魔法史会教授中世纪欧洲巫师集会/会议与哪个大会？ 1289年国际巫师大会 
145 二年级时，是谁在女生盥洗室外的墙上写下与继承人为敌者，警惕！下一个就是你们，泥巴种！的？ 金妮 
146 飞来咒唯一可以召来的活物是什么？ 弗洛伯毛虫 
147 飞路粉是由谁发明的？ 伊格内希娅怀尔德史密斯 
148 飞路网将什么连接在一起？ 壁炉 
149 飞艇李与众不同的地方在哪里？ 颠倒着悬挂在树上 
150 分院帽里能得到什么？ 格兰芬多宝剑 
151 分院帽最开始是谁的帽子？ 戈德里克格兰芬多 
152 凤凰的眼泪有什么功效？ 疗伤治愈 
153 凤凰社总部在哪里？ 格里莫广场12号 
154 疯眼汉穆迪曾如何惩罚德拉科马尔福？ 他把德拉科变成了一只白鼬
155 疯眼汉穆迪在魔法部担任什么职位时受了很多伤？ 傲罗 
156 伏地魔曾喝了谁的血来维持生命？ 独角兽的血 
157 伏地魔的宠物纳吉尼体长多少？ 12英尺 
158 伏地魔的哪个魂器被藏在古灵阁莱斯特兰奇仓库？ 赫尔加赫奇帕奇的金杯 
159 伏地魔魂器之一的斯莱特林的挂坠盒由谁保管？ 克利切 
160 伏地魔学生时代的黑魔法防御术老师叫什么？ 梅乐思教授 
161 伏地魔用什么药水保护藏在岩洞中的魂器？ 绝望药水 
162 伏地魔在哪里得到老魔杖的？ 霍格沃茨 
163 福克斯属于哪种生物？ 凤凰 
164 弗雷德和乔治开的商店名称叫什么？ 韦斯莱魔法把戏坊 
165 弗雷德和乔治是如何获得活点地图的？ 从费尔奇的办公室偷来的 
166 弗雷德和乔治使用什么东西向乌姆里奇示威？ 韦斯莱烟花 
167 弗雷德和乔治在格兰芬多魁地奇球队中担任什么位置？ 击球手 
168 弗雷和乔治第一次也是最后一次看对方变老的样子是在什么时候？ 火焰杯吐出他们名字时 
169 弗立维教授是哪个学院的院长？ 拉文克劳 
170 弗立维教授是哪门课的老师？ 魔咒学 
171 弗立维教授用了什么方式保护魔法石？ 施了魔法的钥匙 
172 福灵剂的重要配方之一是哪种生物的蛋壳？ 鸟蛇 
173 盖勒特格林德沃曾潜伏进美国魔法国会，当时他的化名为？ 帕斯瓦尔格雷夫斯 
174 盖勒特格林德沃曾在哪所学校上学？ 德姆斯特朗 
175 盖勒特格林德沃所属的魔法学校的以下哪个？ 德姆斯特朗 
176 甘普基本变形法则一共有几条例外法则？ 5条 
177 格兰芬多的学院幽灵是谁？ 差点没头的尼克 
178 格兰芬多公共休息室曾用过哪个口令？ 香蕉炸面团 
179 格雷女士一般只跟哪个学院的人说话？ 拉文克劳 
180 格洛普第一次见到赫敏时送了她什么东西？ 自行车把手 
181 根据霍格沃茨校规规定，学生几年级之后才可以前往霍格莫德村？ 三年级 
182 根据推测，伏地魔的母亲是使用哪种方式让他的父亲爱上她的？ 使用迷情剂 
183 古灵阁中守护金库的龙是什么品种？ 乌克兰铁肚皮 
184 关押格林德沃的监狱位于那个国家？ 奥地利 
185 哈利，赫敏，韦斯莱一家在哪里使用了门钥匙去魁地奇世界杯场地？ 白鼬山 
186 哈利、罗恩和赫敏最初怀疑谁想要偷走魔法石？ 西弗勒斯斯内普 
187 哈利、罗恩和赫敏最喜欢到猪头酒吧喝的饮品是？ 黄油啤酒 
188 哈利波特17岁生日时，韦斯莱夫人送了他什么礼物？ 手表 
189 哈利波特把哪件圣器遗弃在了禁林？ 复活石 
190 哈利波特被伏地魔魔咒杀死以后，是谁帮助了哈利隐瞒未死亡的信息？ 纳西莎马尔福 
191 哈利波特被摄魂怪攻击看见的景象？ 母亲被攻击的画面 
192 哈利波特被食死徒抓到马尔福庄园时，用的是谁的名字？ 弗农达利 
193 哈利波特毕业后去做了什么工作？ 傲罗 
194 哈利波特曾和他麻瓜亲戚德思礼一家住在哪儿？ 女贞路 
195 哈利波特曾经试图取得水下的格兰芬多宝剑差点死，是被谁所救？ 罗恩韦斯莱 
196 哈利波特曾在厕所拿什么咒语将德拉科马尔福打上伤？ 神锋无影 
197 哈利波特曾在动物园放出了什么动物？ 蛇 
198 哈利波特曾在格兰芬多魁地奇球队打什么位置？ 找球手 
199 哈利波特曾在什么节日时回到了父母牺牲的家？ 圣诞节 
200 哈利波特的出生地是哪里？ 戈德里克山谷 
201 哈利波特的守护神是哪种动物？ 牡鹿 
202 哈利波特的小女儿叫什么名字？ 莉莉卢娜波特 
203 哈利波特的眼镜被谁修复过一次？ 赫敏 
204 哈利波特的姨夫姨妈告诉哈利父母的死亡原因是什么呢？ 车祸 
205 哈利波特的挚友罗恩韦斯莱有多少兄弟姐妹？ 6个 
206 哈利波特的祖父从事什么工作发家？ 护发药水 
207 哈利波特第一次见到奇洛教授是在哪里？ 破釜酒吧 
208 哈利波特第一次去摩金夫人长袍专卖店遇到了谁？ 德拉科马尔福 
209 哈利波特第一次是怎样抓住的金色飞贼？ 用嘴抓住 
210 哈利波特第一次遇见摄魂怪是在哪里？ 霍格沃茨特快列车 
211 哈利波特共用过几次门钥匙？ 7 
212 哈利波特和罗恩韦斯莱从巨怪手中救出赫敏格兰杰的那一天是莉莉和詹姆逝世第几周年？ 十周年 
213 哈利波特和罗恩韦斯莱用什么撞到了打人柳？ 飞行汽车 
214 哈利波特和小天狼星布莱克被摄魂晕倒，是谁施了呼神护卫咒驱赶了所有摄魂怪？ 哈利波特 
215 哈利波特继承的死亡圣器是什么？ 隐身衣 
216 哈利波特进入霍格沃茨第一天的格兰芬多公共休息室的口令是什么？ 龙渣 
217 哈利波特魔杖的材质是什么？ 冬青木 
218 哈利波特是佩弗利尔三兄弟中谁的后代？ 伊格诺图斯 
219 哈利波特十七岁生日时鲁伯海格送了什么礼物？ 驴皮做的小袋子 
220 哈利波特是什么咒语的唯一幸存者？ 阿瓦达索命 
221 哈利波特是通过打败谁成为了老魔杖的主人？ 德科拉马尔福 
222 哈利波特使用什么破坏了汤姆里德尔的日记？ 蛇怪的毒牙 
223 哈利波特收到的第一把飞天扫帚是谁赠送的？ 麦格教授 第七部小说里提到哈利的第一把飞天扫帚是小天狼星送给哈利的一岁生日礼物
224 哈利波特暑假在家写的魔法史论文题目为？ 十四世纪烧死女巫的做法完全是无稽之谈 
225 哈利波特学生时，罗米达万妮曾十分迫切的想与他约会，其中原因是？ 他是被选中的孩子 
226 哈利波特学生时期的草药学老师是谁？ 斯普劳特教授 
227 哈利波特一年级拿到魔法石时穿的是什么颜色的毛衣？ 红色 
228 哈利波特有几个孩子？ 3个 
229 哈利波特在动物园使用过什么天赋？ 蛇佬腔 
230 哈利波特在火焰杯第二项比赛中使用了哪种植物？ 鳃囊草 
231 哈利波特在哪里第一次收到了鲁伯海格的生日蛋糕？ 礁石上的小屋 
232 哈利波特在校时，谁的成绩总是班级第一？ 赫敏格兰杰 
233 哈利波特最擅长什么咒语？ 除你武器 
234 哈利波特在三强争霸赛中从哪条龙身上夺得了金色飞球？ 匈牙利树峰 
235 哈利曾经被叫作过什么？ 疤头 
236 哈利搭乘骑士公共汽车去了哪里？ 破釜酒吧 
237 哈利的初恋是谁？ 秋张 
238 哈利的第一位黑魔法防御课教师是谁？ 奎里纳斯奇洛 
239 哈利第一次参加魁地奇比赛前，赫敏借给了他一本什么书？ 魁地奇古史 
240 哈利第一次来到古灵阁时，带领他们去金库的妖精是谁？ 拉环 
241 哈利第一次使用倒挂金钟时，被倒挂的人是谁？ 罗恩韦斯莱 
242 哈利第一次使用飞路粉时误入了哪里？ 博金-博克古董商店 
243 哈利第一根魔杖的杖芯是什么？ 凤凰羽毛 
244 哈利二年级开学时，以什么交通方式到达了霍格沃茨？ 一辆会飞的车 
245 哈利和邓布利多在岩洞中遇到了什么可怕的东西？ 阴尸 
246 哈利和邓布利多最后一次见面是在哪里？ 国王十字车站 
247 哈利和罗恩驾驶的福特安格利亚车最后撞到了什么？ 打人柳 
248 哈利怀疑小天狼星有危险时，他以什么交通方式到达了魔法部？ 夜骐 
249 哈利坚称伏地魔卷土重来，乌姆里奇惩罚他反复抄写什么？ 我不可以说
250 哈利利用蛇佬腔和什么动物说过话？ 蛇 
251 哈利三年级开学时，霍格沃茨列车上什么导致了哈利晕倒？ 摄魂怪 
252 哈利三年级开学时，霍格沃茨特快列车上什么导致了哈利晕倒？ 摄魂怪 
253 哈利三年级时，黑魔法防御术课上遭遇的博格特是什么形态？ 摄魂怪 
254 哈利三年级时为什么没能和其他同学一起去霍格莫德？ 他的姨父没有签同意书 
255 哈利三人组遇到的三头犬叫什么？ 路威 
256 哈利上一年级时，谁跑到礼堂告诉大家一只巨怪被放出来了？ 奇洛教授 
257 哈利一年级时，霍格沃茨城堡中的哪个地方是禁止学生入内的？ 四楼走廊 
258 哈利一年级时，谁在禁林中保护了他？ 费伦泽 
259 哈利一年级在与奇洛对抗后住进校医院，海格来探望时送了什么礼物？ 哈利父母的照片 
260 哈利因为在麻瓜面前召唤守护神被审讯时，谁当了他的证人？ 阿拉贝拉费格 
261 哈利因在麻瓜面前召唤守护神而被传唤后，谁主持了他的庭审？ 阿米莉亚博恩斯女士 
262 哈利在火车上拆巧克力蛙卡片时，获得的第一个人物是？ 阿不思邓布利多 
263 哈利在活点地图上看到了哪个他以为已经死去的人？ 小矮星彼得 
264 哈利在级长浴室遇到了谁？ 哭泣的桃金娘 
265 哈利在丽痕书店看到过谁的签售会？ 吉德罗洛哈特 
266 哈利在冥想盆中看到斯内普的记忆，记忆里他们正在进行什么考试？ 黑魔法防御术 
267 哈利在魔药课上因为制作哪种魔药获得了福灵剂？ 活地狱汤剂 
268 哈利在目睹谁的死亡后能看到夜骐？ 塞德里克迪戈里 
